暴行	2016/09/09(金) 午後8時30分	松戸市小金原五丁目	35.819776	139.939279	41～50歳	女	156～160cm	無	小太り、色不明なるもパーマ風、肩までの長さ	色不明なるもワンピース	帰宅途中の男子児童が、女に声を掛けられ、腕を掴まれたもの。犯人を検挙しました	700
痴漢	2016/06/20(月) 午後2時50分	松戸市岩瀬	35.781706	139.905336	41～50歳	男	不明	無	不明	黒っぽい	帰宅途中の女子児童が、男に身体を触られたもの。	900
つきまとい	2016/09/10(土) 午後7時5分	松戸市栄町七丁目	35.81193	139.907449	26～30歳	男	171～175cm	無	複数犯、細身、坊主が伸びたくらいの黒髪	黒色のつなぎ	帰宅途中の男子児童が、男につきまとわれたもの。	280
暴行	2016/09/13(火) 午後5時0分	松戸市紙敷	35.769512	139.938132	不明	男	不明	ボックスタイプ	不明	不明	帰宅途中の女子中学生が、車に乗った男に肩を触られたもの。	700
つきまとい	2016/04/15(金) 午後7時0分	松戸市古ケ崎四丁目	35.803751	139.90041	41～50歳	男	156～160cm	無	小太り、黒色短め、いつも傘を持っている、傘	色不明パーカー様、黒っぽいズボン	帰宅途中の女子児童が、男に追い掛けられたもの。	280
盗撮	2016/06/27(月) 午後4時50分	松戸市小金原一丁目	35.823054	139.937768	41～50歳	男	171～175cm	軽乗用	黒色	黒色長袖シャツ、黒色ズボン	遊んでいた女子児童らが、男につきまとわれ、容姿を撮影されたもの。	250
声かけ	2016/04/03(日) 午前9時33分	松戸市古ケ崎	35.784935	139.90045	26～30歳	男	166～170cm	無	細身、黒色普通、会社員風、銀縁めがね	上下黒色スーツ	女子児童が、男に声を掛けられたもの。	130
露出	2016/06/11(土) 午後2時0分	松戸市西馬橋相川町	35.816211	139.906891	18～25歳	男	176～180cm	無	細身、中・高生風、眼鏡、マスク着	パーカーのフード、緑色パーカー、紺色ジーンズ、黒色革靴	遊んでいた女子児童らが、男に陰部を見せられたもの。	600
露出	2016/07/07(木) 午後5時15分	柏市豊四季	35.811694	139.962628	－	男	－	－	－	－	女子児童が、男に陰部を見せられたもの。犯人を検挙しました	600
暴行	2016/03/22(火) 午後5時55分	松戸市五香六丁目	35.800942	139.967986	不明	男	166～170cm	無	複数、細身、外国人風、外国語を話す。黒色リュックサックを背負う	不明	帰宅途中の女子児童が、男に肩を押されたもの。	700
